瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C)
90,加檬,2015-01,1.8
90,加檬,2015-02,2.4
90,加檬,2015-03,6.6
90,加檬,2015-04,11.1
90,加檬,2015-05,17.8
90,加檬,2015-06,19.5
90,加檬,2015-07,22.7
90,加檬,2015-08,24.2
90,加檬,2015-09,19.1
90,加檬,2015-10,14.7
90,加檬,2015-11,8.4
90,加檬,2015-12,3
90,加檬,2016-01,-1.2
90,加檬,2016-02,.8
90,加檬,2016-03,7
90,加檬,2016-04,12.6
90,加檬,2016-05,17.2
90,加檬,2016-06,20.6
90,加檬,2016-07,22.9
90,加檬,2016-08,25.5
90,加檬,2016-09,20.4
90,加檬,2016-10,15.3
90,加檬,2016-11,8.4
90,加檬,2016-12,4.4
90,加檬,2017-01,.8
90,加檬,2017-02,3
90,加檬,2017-03,7
90,加檬,2017-04,14.8
90,加檬,2017-05,18.7
90,加檬,2017-06,19.8
90,加檬,2017-07,25.6
90,加檬,2017-08,23.7
90,加檬,2017-09,20.8
90,加檬,2017-10,14.5
90,加檬,2017-11,7.8
90,加檬,2017-12,.7
90,加檬,2018-01,-1.4
90,加檬,2018-02,-.5
90,加檬,2018-03,8
90,加檬,2018-04,13
90,加檬,2018-05,15.9
90,加檬,2018-06,21.3
90,加檬,2018-07,25
90,加檬,2018-08,25.6
90,加檬,2018-09,20
90,加檬,2018-10,13.5
90,加檬,2018-11,9.2
90,加檬,2018-12,1.6
90,加檬,2019-01,1.7
90,加檬,2019-02,2.5
90,加檬,2019-03,8.2
90,加檬,2019-04,11.9
90,加檬,2019-05,19.8
90,加檬,2019-06,20
90,加檬,2019-07,24.7
90,加檬,2019-08,25.7
90,加檬,2019-09,20.9
90,加檬,2019-10,16.1
90,加檬,2019-11,9.4
90,加檬,2019-12,4.2
90,加檬,2020-01,3.4
90,加檬,2020-02,4.1
90,加檬,2020-03,7.9
90,加檬,2020-04,11.3
90,加檬,2020-05,17.1
90,加檬,2020-06,22.2
90,加檬,2020-07,21.6
90,加檬,2020-08,25.7
90,加檬,2020-09,20.1
90,加檬,2020-10,14.3
90,加檬,2020-11,10
90,加檬,2020-12,1.8
90,加檬,2021-01,-1.2
90,加檬,2021-02,3.1
90,加檬,2021-03,8
90,加檬,2021-04,12.3
90,加檬,2021-05,16.7
90,加檬,2021-06,20.3
90,加檬,2021-07,25.5
90,加檬,2021-08,24.4
90,加檬,2021-09,20.9
90,加檬,2021-10,15.5
90,加檬,2021-11,9.9
90,加檬,2021-12,2.8
90,加檬,2022-01,-.6
90,加檬,2022-02,.3
90,加檬,2022-03,7.1
90,加檬,2022-04,14.2
90,加檬,2022-05,18.5
90,加檬,2022-06,20.9
90,加檬,2022-07,24.3
90,加檬,2022-08,24.6
90,加檬,2022-09,20.3
