시군별,연도별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
춘천시,1993,10,49.1,22.5,83.5,184.9,170.7,318.4,199.9,45.7,13.8,49.5,13
원주시,1993,11.4,67.4,48.2,53.5,129.9,130.6,342.3,237.2,108.4,36.2,77.4,20
강릉시,1993,85.1,65.3,62.3,94,119.2,167.3,334.5,424,36.6,26.9,110.6,29.3
동해시,1993,66.8,61.1,48.8,69.9,83.5,156.7,303,462.4,42.1,28.5,81.2,26.3
태백시,1993,16,77.5,56,60.7,104.3,187,337.8,598.5,61.5,31.1,59.3,11.1
속초시,1993,79,89.4,37.7,95.8,111.3,192.3,286.1,329.4,46.4,16,106.4,15.1
삼척시,1993,94.6,79.5,66,84,83,187,343,542,48,36.5,84.5,23
홍천군,1993,11,58,34,100.5,153.5,206,381,208,58,20,52.3,14.3
횡성군,1993,11.4,67.4,48.2,53.5,129.9,130.6,342.3,237.2,108.4,36.2,77.4,20
영월군,1993,216,63.9,18.6,40,134.8,142.4,338.8,338.5,80.6,28.4,70.2,
평창군,1993,105.6,108.3,126.4,148.5,175.8,283.4,502.6,632,70,39.7,127.8,33.5
정선군,1993,25.5,57.2,21.6,63.5,124.2,140.4,344.5,323.5,69.5,38.5,52,10.7
철원군,1993,5.3,41.6,15.2,68,163.1,215.1,276.8,137.7,72.2,19.5,65.3,15.9
화천군,1993,11.9,21.5,7,63,152,168,268,141.6,82,18,51,15
양구군,1993,16.2,41.7,15.4,62.4,143.4,148.4,245.2,143.9,81.3,17.3,48.6,14
인제군,1993,15.5,44.1,17,70.6,180,154.5,263,200.5,56,15,37.5,17
고성군,1993,79,89.4,37.7,95.8,111.3,192.3,286.1,329.4,46.4,16,106.4,15.5
양양군,1993,79,89.4,37.7,95.8,111.3,192.3,286.1,329.4,46.4,16,106.4,15.5
춘천시,1994,10.2,4.6,21.7,35,130.6,99.9,128.5,248.5,59.9,137.3,45.5,9.2
원주시,1994,9.9,7.1,37.2,19.4,98,152.9,141.3,378.9,58.3,173.4,30.3,19.6
강릉시,1994,88.9,49.2,11.1,24.3,85,104.1,92.4,156.1,68.6,306.7,149.2,11.1
동해시,1994,70.7,28.9,6.6,10.2,50.6,100.7,34.8,80.7,55.1,355.5,101.7,5.1
태백시,1994,14.3,10,30.4,26.5,115.2,167.8,109.3,291.3,46.1,214.5,27.5,5.6
속초시,1994,71.7,43.4,4.2,25.3,94.8,69.3,86.6,236.9,37.8,280.1,143.2,15.9
삼척시,1994,87.6,18.3,11,7.5,55,102,49,69,72,489.5,115,8.5
홍천군,1994,10.4,4.2,18.5,24,126.5,124.5,123,297.5,71,183.5,35.5,13.8
횡성군,1994,9.9,7.1,37.2,19.4,98,152.9,141.3,378.9,58.3,173.4,30.3,19.6
영월군,1994,3,3,33,23,68,236,139,254,45,154,12,28
평창군,1994,16.8,9,30.3,32.5,27.5,164,220.2,314.6,65.5,177,14,10
정선군,1994,10.8,9.5,26.2,24,107,162,168.6,219.6,39.5,171,13.5,5.8
철원군,1994,10.2,10.2,30.1,32.5,136.7,63.1,191.9,391.1,58.7,153.1,38.9,21.2
화천군,1994,3,6,12,36,148,73,137,270,58,142,30,10
양구군,1994,13.3,5.1,12.1,42.4,121.2,96.2,175.7,224.8,66.5,128.9,34.5,12.8
인제군,1994,8.8,3.5,10.6,28,101.5,90.5,129,183,43,118,34,10
고성군,1994,71.7,43.4,4.2,25.3,94.8,69.3,86.6,236.9,37.8,280.1,143.2,15.9
양양군,1994,,,,,,,,,,,,
춘천시,1995,8.4,7.6,53.5,43,45.9,54.2,453.9,774.7,74.2,25.8,47.7,4.5
원주시,1995,11.5,2.9,45.6,43.3,49.3,36.6,303.2,696.3,55.2,37.5,31.7,4.4
강릉시,1995,15.9,38.6,104.6,42.7,32.7,113,169.6,327.6,80.4,9.6,17.6,10.4
동해시,1995,12,55.5,77,31.1,19.1,84.4,133.5,258.1,51.4,10.3,12.2,10.2
태백시,1995,13.6,13.3,83.3,55.5,37,84.8,215.7,472.3,62.5,32,22.6,2.6
속초시,1995,11,45,110.4,27.3,18.1,107,176.6,441.7,142.7,6.4,8.8,2.5
삼척시,1995,10,48.2,111.5,32,23.5,62.5,153,243,40.5,14,40,9
홍천군,1995,10.4,5.3,57.3,44.5,48,64,394,822.5,80.5,20,49.1,2.4
횡성군,1995,11.5,2.9,45.6,43.3,49.3,36.6,303.2,696.3,55.2,37.5,31.7,4.4
영월군,1995,13.4,9.4,42.6,55,45.2,71.9,221.3,524.5,64.3,32.7,23.3,3.9
평창군,1995,17.2,12,58,67.5,55.5,64.5,349.5,549.7,87,20.5,29.7,5
정선군,1995,13.4,9.4,42.6,55,45.2,71.9,221.3,524.5,64.3,32.7,23.3,3.9
철원군,1995,8,12.6,65.3,21.6,45.4,60.6,365.9,770.1,115.1,18.9,44,6.9
화천군,1995,7,13,62,36,48,73,278,867,65,13,42,3
양구군,1995,5.7,11.4,71.7,54.3,39.2,56.7,309,921.8,45.6,14.5,47.8,3
인제군,1995,5.5,7.6,42.2,35.5,24.5,43.5,330.5,781,61.5,23,43.5,4
고성군,1995,11,45,110.4,24.3,18.1,107,176,441.7,142.7,6.4,8.8,2.5
양양군,1995,19,36,115,93,6,57,204,437,141,5,6,2.5
춘천시,1996,17.5,5.3,70.4,54.2,23.3,236.1,545.7,74.3,35.7,64.8,45,13.4
원주시,1996,24.2,7,83.2,47,19.7,235.5,283.7,203.7,21.6,64.1,45.8,17.6
강릉시,1996,37.9,92.2,107.3,58.1,17.6,279,193.9,220.2,32.7,139.3,82,22.5
동해시,1996,17.1,67.5,75.1,41.5,19,168.9,148.2,191.9,51.1,77.1,61.2,17.5
태백시,1996,32.3,8.1,105.8,56.9,34.7,210.5,224.5,154.5,34.5,59.6,49,16.3
속초시,1996,23.5,114.2,75.1,64.9,20.2,356.5,189.4,200,42,77.7,66,20.1
삼척시,1996,17.1,67.5,75.1,41.5,19,168.9,148.2,191.9,51.1,77.1,61.2,17.5
홍천군,1996,21.4,3.6,69.8,49,23.5,251,385,130.5,7.5,67.5,29.8,18.2
횡성군,1996,24.2,7,83.2,47,19.7,235.5,287.3,203.7,21.6,64.1,45.8,17.6
영월군,1996,35.5,13.7,98.2,42.5,38,151.3,250.5,114.1,16.8,66.7,53.2,22.8
평창군,1996,35.8,73.8,134.6,78,30.8,297.2,273.2,233.5,53.2,118.3,83.6,27.1
정선군,1996,33.5,29,98.5,64.4,41.2,148.5,211.3,122,9,54.5,32.5,24
철원군,1996,20.7,2.3,58.8,48.6,62.1,227.2,745.5,78.1,8.1,56.6,58.8,7.9
화천군,1996,15.4,1.2,57.8,61,34,285,730.5,174.1,14,59.1,60,9.7
양구군,1996,24.7,0.4,49.8,63.4,21,210.5,559.4,69.3,34.5,29.7,51.7,13.3
인제군,1996,20.5,2,57.3,50,24.5,169,433.5,67,6,39.5,42.3,15.4
고성군,1996,23.5,114.2,75.1,64.9,20.2,356.5,189.4,200,42,77.7,66,20.1
양양군,1996,23.5,114.2,75.1,64.9,20.2,356.5,189.4,200,42,77.7,66,20.1
춘천시,1997,18.5,31.7,16.3,32.3,281.9,110.7,241.3,155.4,127.9,29.5,94.6,35.6
원주시,1997,18.1,38.4,22.8,59.1,183.1,185.2,385.7,272.7,97,20.1,112.5,43.1
강릉시,1997,44.9,48.9,45.6,49.6,239.6,101,143.9,143.4,179.6,3.9,186.4,87.1
동해시,1997,14.2,22.2,33.1,31.4,161.6,75.4,125.9,120.4,154,7.9,157.5,57.7
태백시,1997,21.2,40.8,43.5,63.5,207,113,295.5,232,122,13.5,170,38.2
속초시,1997,59.9,34.4,43.6,45.4,355.6,113,73.3,60.3,322.4,39.7,153.9,101
삼척시,1997,14.2,22.2,33.1,31.4,161.6,75.4,125.9,120.4,154,7.9,157.5,57.7
홍천군,1997,14.2,29.3,16.5,38.5,289.5,141.5,319.5,119.5,118,23.5,93,32.2
횡성군,1997,18.1,38.4,22.8,59.1,183.1,185.2,385.7,272.7,97,20.1,112.5,43.1
영월군,1997,13.3,38.4,22.4,58.5,197.8,123.8,359.4,203.3,69.2,13.2,105.6,36.7
평창군,1997,79.8,43.3,93.7,80.7,311.6,138.7,217.1,224.7,264.4,8.8,218.4,79.3
정선군,1997,36.1,30.5,26.9,53.9,219,121.6,277.5,170.5,133,4.5,110,38
철원군,1997,30.8,33.4,21.2,39.9,274.8,82.3,224.9,201.3,143.9,40,68.2,32.1
화천군,1997,21,30.3,20.2,39,347.6,198.7,242.4,122.4,118,19.5,93.3,25.1
양구군,1997,25.6,26.8,15,39.3,320.9,168.5,245.1,102.2,158.6,23.6,102.9,22.7
인제군,1997,30.9,24.2,10.9,35,328,218.5,244,116.5,273.5,30,83,26
고성군,1997,59.9,43.6,43.6,45.4,355.6,113,73.3,60.3,322.4,39.7,153.9,101
양양군,1997,59.9,43.6,43.6,45.4,355.6,113,73.3,60.3,322.4,39.7,153.9,101
춘천시,1998,13.4,34.1,32.4,131.6,92.2,183.3,366,663.9,83.5,36.2,67.1,3.9
원주시,1998,16.7,36.9,38.9,111.5,85,196.1,276.7,491.3,113.5,43.2,37.4,3.6
강릉시,1998,114.4,85.5,16.3,120.3,49.8,215.7,501.1,268.2,250.9,125,63.2,35.3
동해시,1998,56.5,52.6,16.2,93.2,48.4,156.9,429.3,207.1,230.5,96.8,28.5,32.5
태백시,1998,93.7,57.8,26,162,113,186.5,259,340.5,240.5,87,32.6,7.9
