시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자,인구증가율,세대당인구,65세이상고령자,인구밀도,면적
1961,296732,1585869,791267,794602,,,,,,,,5.3,,92.3,17184.81
1962,295754,1593037,808319,784718,1593037,,,,,,,5.4,,92.7,17184.81
1963,305792,1678126,852652,825474,1678126,852652,825474,0,,,5.3,5.5,,101,16618.2
1964,308605,1722005,878558,843447,1722005,878558,843447,0,,,2.6,5.6,,103.6,16618.2
1965,312688,1771035,902167,868868,1771035,902167,868868,0,0,0,2.8,5.7,0,106,16712.2
1966,334196,1832383,936824,895559,1832383,936824,895559,0,0,0,3.5,5.5,0,109.6,16712.03
1967,326508,1825018,930319,894699,1825018,930319,894699,0,0,0,-0.4,5.6,0,109.2,16712.03
1968,325301,1823612,928804,894808,1823612,928804,894808,0,0,0,-0.1,5.5,0,109.1,16712.03
1969,328938,1810527,924250,886277,1810527,924250,886277,0,0,0,-0.7,5.3,0,108.3,16712.03
1970,352484,1866928,953653,913275,1866928,953653,913275,0,0,0,3.1,5.4,0,111.7,16712.03
1971,343835,1851866,944748,907118,1851866,944748,907118,0,0,0,-0.8,5.4,0,110.8,16712.03
1972,341985,1863419,950793,912626,1863419,950793,912626,0,0,0,0.6,5.5,0,111.5,16712.03
1973,339751,1852456,946034,906422,1852456,946034,906422,0,0,0,-0.6,5.5,0,110.4,16784.68
1974,338744,1865738,953938,911800,1865738,953938,911800,0,0,0,0.7,5.1,0,110.9,16827.93
1975,362165,1862107,955258,906849,1862107,955258,906849,0,0,0,-0.2,5.2,0,110.7,16826.88
1976,355710,1842363,941292,901071,1842363,941292,901071,0,0,0,-1,5.2,0,109.7,16800.27
1977,355909,1847177,942097,905080,1847177,942097,905080,0,0,0,0.3,5.1,0,109.4,16892.07
1978,362478,1852755,942117,910638,1852755,942117,910638,0,0,0,0.3,5,0,109.7,16892.86
1979,369774,1844559,939862,904697,1844559,939862,904697,0,0,0,-0.4,4.8,0,109.2,16892.33
1980,375265,1790954,915397,875557,1790226,914983,875243,728,414,314,-2.9,4.8,0,106,16892.62
1981,376332,1804853,921268,883585,1804853,921268,883585,0,0,0,0.8,4.7,0,106.8,16892.8
1982,381965,1809871,925008,884863,1809871,925008,884863,0,0,0,0.3,4.7,0,107.1,16894.15
1983,391296,1824324,931933,892391,1823717,931611,892106,607,322,285,0.8,4.7,0,108,16893.98
1984,393853,1816365,927598,888767,1815719,927253,888466,646,345,301,-0.4,4.6,0,107.5,16894.11
1985,404694,1724809,880464,844345,1724146,880090,844056,663,374,289,-5,4.3,0,102.1,16893.79
1986,406934,1750707,893424,857283,1750119,893107,857012,588,317,271,1.5,4.3,0,103.6,16896.55
1987,407745,1751252,891588,859664,1750698,891280,859418,554,308,246,0,4.3,0,103.6,16897.78
1988,412209,1730905,879530,851375,1730307,879205,851102,598,325,273,-1.2,4.2,0,102.4,16898.8
1989,413688,1702025,864011,838014,1701502,863724,837778,523,287,236,-1.7,4.1,0,100.7,16897.86
1990,413793,1580430,802179,778251,1579859,801845,778014,571,334,237,-7.1,3.8,0,93.5,16897.85
1991,421478,1563902,786137,777765,1584101,800995,783106,491,275,216,0.3,3.7,106691,92.5,16898.13
1992,432116,1555082,781263,773819,1554106,780751,773355,976,512,464,-1.9,3.6,109492,92.1,16879.45
1993,440282,1540971,774150,766821,1539801,773555,766246,1170,595,575,-0.9,3.5,112599,91.2,16897.27
1994,447404,1530717,768704,762013,1529304,768009,761295,1413,695,718,-0.7,3.4,116015,90.7,16870.41
1995,459469,1530000,768706,761294,1528488,767927,760561,1512,779,733,0,3.3,120248,90.7,16872.5
1996,472206,1531337,769059,762278,1528671,767634,761037,2666,1425,1241,0.1,3.2,123217,90.8,16873.72
1997,487412,1540307,773953,766354,1537106,772280,764826,3201,1673,1528,0.6,3.2,127124,91.3,16873.73
1998,500668,1555483,782601,772882,1552667,781179,771488,2816,1422,1394,1,3.1,132125,92.2,16874.27
1999,511060,1560043,784484,775559,1556979,782936,774043,3064,1548,1516,0.3,3.1,137587,92.5,16874.27
2000,521728,1559042,783469,775573,1554688,781133,773555,4354,2336,2018,-0.1,3,143945,92.4,16873.7
2001,531123,1556904,780995,775909,1552407,778766,773641,4497,2229,2268,-0.1,2.9,151783,92.3,16873.38
2002,538613,1543665,774281,769384,1538720,771945,766775,4945,2336,2609,-0.9,2.9,158924,91.5,16873.38
2003,552319,1533331,770529,762802,1527034,767294,759740,6297,3235,3062,-0.7,2.8,166674,90.9,16873.47
2004,563355,1528640,768714,759926,1521375,764803,756572,7265,3911,3354,-0.3,2.7,175187,90.6,16873.26
2005,574019,1521099,764840,756259,1513110,760642,752468,7989,4198,3791,-0.5,2.7,183471,90.1,16874.18
2006,583890,1515672,762233,753439,1505420,756894,748526,10252,5339,4913,-0.4,2.6,192012,89.8,16873.91
2007,594360,1515800,762219,753581,1503806,756184,747622,11994,6035,5959,-0.3,2.6,202198,89.8,16873.61
2008,606950,1521467,765413,756054,1508575,759282,749293,12892,6131,6761,0.4,2.5,209922,90.2,16874.6
2009,617693,1525542,767155,758387,1512870,761270,751600,12672,5885,6787,0.3,2.5,217230,90.4,16873.93
2010,639001,1543555,776292,767263,1529818,769807,760011,13737,6485,7252,1.2,2.4,226505,91.5,16873.83
2011,648649,1549780,779422,770358,1536448,773278,763170,13332,6144,7188,0.4,2.4,233219,91.9,16866.39
2012,655301,1551531,780172,771359,1538630,774273,764357,12901,5899,7002,0.1,2.4,241694,92,16873.57
2013,664913,1555672,782828,772844,1542263,776498,765765,13409,6330,7079,0.3,2.3,249539,92.2,16873.54
2014,673978,1558885,785023,773862,1544442,778007,766435,14443,7016,7427,0.2,2.3,255930,92.4,16873.5
2015,685005,1564615,789001,775614,1549507,781434,768073,15108,7567,7541,0.4,2.3,261671,92.7,16874.32
2016,692254,1566639,789251,777388,1550806,781146,769660,15833,8105,7728,0.1,2.3,266152,92.8,16875.04
2017,700265,1567091,789577,777514,1550142,780635,769507,16949,8942,8007,0,2.2,279976,92.9,16875.04
2018,707245,1561313,786364,774949,1543052,776456,766596,18261,9908,8353,-0.4,2.2,289386,92.5,16875.04
2019,719524,1560571,785770,774801,1541502,775386,766116,19069,10384,8685,-0.1,2.2,302886,92.5,16875.04
