ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC)
105,°­¸ª,2015-01,2.2
105,°­¸ª,2015-02,3.1
105,°­¸ª,2015-03,8.2
105,°­¸ª,2015-04,12.1
105,°­¸ª,2015-05,20
105,°­¸ª,2015-06,21
105,°­¸ª,2015-07,23.8
105,°­¸ª,2015-08,25.8
105,°­¸ª,2015-09,20.2
105,°­¸ª,2015-10,16
105,°­¸ª,2015-11,9.9
105,°­¸ª,2015-12,4.9
105,°­¸ª,2016-01,.4
105,°­¸ª,2016-02,1.9
105,°­¸ª,2016-03,7.9
105,°­¸ª,2016-04,14.1
105,°­¸ª,2016-05,19.3
105,°­¸ª,2016-06,21.9
105,°­¸ª,2016-07,24.1
105,°­¸ª,2016-08,25.8
105,°­¸ª,2016-09,20.6
105,°­¸ª,2016-10,15.6
105,°­¸ª,2016-11,9.1
105,°­¸ª,2016-12,5
105,°­¸ª,2017-01,1.5
105,°­¸ª,2017-02,3.5
105,°­¸ª,2017-03,7.1
105,°­¸ª,2017-04,15.4
105,°­¸ª,2017-05,20.3
105,°­¸ª,2017-06,21.2
105,°­¸ª,2017-07,26.8
105,°­¸ª,2017-08,24.3
105,°­¸ª,2017-09,21.3
105,°­¸ª,2017-10,15.2
105,°­¸ª,2017-11,9
105,°­¸ª,2017-12,1.5
105,°­¸ª,2018-01,-.2
105,°­¸ª,2018-02,.5
105,°­¸ª,2018-03,9.2
105,°­¸ª,2018-04,14.5
105,°­¸ª,2018-05,17.3
105,°­¸ª,2018-06,23.2
105,°­¸ª,2018-07,26.8
105,°­¸ª,2018-08,26.2
105,°­¸ª,2018-09,20
105,°­¸ª,2018-10,14.1
105,°­¸ª,2018-11,10
105,°­¸ª,2018-12,2.7
105,°­¸ª,2019-01,2.8
105,°­¸ª,2019-02,3.8
105,°­¸ª,2019-03,8.9
105,°­¸ª,2019-04,12.6
105,°­¸ª,2019-05,21
105,°­¸ª,2019-06,21.4
105,°­¸ª,2019-07,25.8
105,°­¸ª,2019-08,26.5
105,°­¸ª,2019-09,21.5
105,°­¸ª,2019-10,16.6
105,°­¸ª,2019-11,10.2
105,°­¸ª,2019-12,5.3
105,°­¸ª,2020-01,4.4
105,°­¸ª,2020-02,5
105,°­¸ª,2020-03,8.7
105,°­¸ª,2020-04,11.8
105,°­¸ª,2020-05,18.3
105,°­¸ª,2020-06,24.1
105,°­¸ª,2020-07,22.4
105,°­¸ª,2020-08,27
105,°­¸ª,2020-09,20.6
105,°­¸ª,2020-10,15.1
105,°­¸ª,2020-11,11
105,°­¸ª,2020-12,3
105,°­¸ª,2021-01,.6
105,°­¸ª,2021-02,4.9
105,°­¸ª,2021-03,9.7
105,°­¸ª,2021-04,13.8
105,°­¸ª,2021-05,17.9
105,°­¸ª,2021-06,22
105,°­¸ª,2021-07,26.7
105,°­¸ª,2021-08,25.5
105,°­¸ª,2021-09,21.7
105,°­¸ª,2021-10,16.5
105,°­¸ª,2021-11,11.1
105,°­¸ª,2021-12,4.4
105,°­¸ª,2022-01,1.5
105,°­¸ª,2022-02,2
105,°­¸ª,2022-03,9
105,°­¸ª,2022-04,16.1
105,°­¸ª,2022-05,20.3
105,°­¸ª,2022-06,23.6
105,°­¸ª,2022-07,26.3
105,°­¸ª,2022-08,26.6
105,°­¸ª,2022-09,21.8
