瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C)
114,盔林,2015-01,-1
114,盔林,2015-02,1.3
114,盔林,2015-03,6.7
114,盔林,2015-04,13.5
114,盔林,2015-05,19.9
114,盔林,2015-06,23.8
114,盔林,2015-07,26.2
114,盔林,2015-08,26.2
114,盔林,2015-09,20.7
114,盔林,2015-10,14.6
114,盔林,2015-11,9.2
114,盔林,2015-12,1.7
114,盔林,2016-01,-2.5
114,盔林,2016-02,.8
114,盔林,2016-03,7.1
114,盔林,2016-04,14.8
114,盔林,2016-05,19.3
114,盔林,2016-06,23.6
114,盔林,2016-07,25.7
114,盔林,2016-08,27
114,盔林,2016-09,21.8
114,盔林,2016-10,15.1
114,盔林,2016-11,6.7
114,盔林,2016-12,.8
114,盔林,2017-01,-2.2
114,盔林,2017-02,-.1
114,盔林,2017-03,5.6
114,盔林,2017-04,13.6
114,盔林,2017-05,18.8
114,盔林,2017-06,22.1
114,盔林,2017-07,25.7
114,盔林,2017-08,24.2
114,盔林,2017-09,19.5
114,盔林,2017-10,14.6
114,盔林,2017-11,5.1
114,盔林,2017-12,-2.1
114,盔林,2018-01,-3.8
114,盔林,2018-02,-1.6
114,盔林,2018-03,8.2
114,盔林,2018-04,13.2
114,盔林,2018-05,17.9
114,盔林,2018-06,23
114,盔林,2018-07,27.1
114,盔林,2018-08,27.4
114,盔林,2018-09,19.9
114,盔林,2018-10,11.6
114,盔林,2018-11,6.8
114,盔林,2018-12,-1.1
114,盔林,2019-01,-1.6
114,盔林,2019-02,1.3
114,盔林,2019-03,6.9
114,盔林,2019-04,11.9
114,盔林,2019-05,19.2
114,盔林,2019-06,22.1
114,盔林,2019-07,25.2
114,盔林,2019-08,26.2
114,盔林,2019-09,21.4
114,盔林,2019-10,14.9
114,盔林,2019-11,7.1
114,盔林,2019-12,.9
114,盔林,2020-01,1.2
114,盔林,2020-02,2.5
114,盔林,2020-03,7.8
114,盔林,2020-04,11
114,盔林,2020-05,18.2
114,盔林,2020-06,24.1
114,盔林,2020-07,23.7
114,盔林,2020-08,26.1
114,盔林,2020-09,19.9
114,盔林,2020-10,12.7
114,盔林,2020-11,7.3
114,盔林,2020-12,-1.4
114,盔林,2021-01,-2.9
114,盔林,2021-02,2.5
114,盔林,2021-03,8.8
114,盔林,2021-04,13.8
114,盔林,2021-05,16.5
114,盔林,2021-06,22.3
114,盔林,2021-07,26.7
114,盔林,2021-08,24.6
114,盔林,2021-09,21.1
114,盔林,2021-10,14.4
114,盔林,2021-11,7.3
114,盔林,2021-12,.3
114,盔林,2022-01,-2.4
114,盔林,2022-02,-1.1
114,盔林,2022-03,7.4
114,盔林,2022-04,14.1
114,盔林,2022-05,18.3
114,盔林,2022-06,23
114,盔林,2022-07,26.2
114,盔林,2022-08,24.9
114,盔林,2022-09,20.9
